#  E (eV)   dos(E)     Int dos(E)
  -14.427774036  0.43613567E-84  0.40003264E+01
  -14.291717105  0.18574712E-82  0.40003264E+01
  -14.155660174  0.67646971E-71  0.40003264E+01
  -14.019603242  0.34334933E-60  0.40003264E+01
  -13.883546311  0.23741165E-50  0.40003264E+01
  -13.747489380  0.22381281E-41  0.40003264E+01
  -13.611432449  0.28794942E-33  0.40003264E+01
  -13.475375517  0.50624631E-26  0.40003264E+01
  -13.339318586  0.12184092E-19  0.40003264E+01
  -13.203261655  0.40244715E-14  0.40003264E+01
  -13.067204724  0.18313151E-09  0.40003264E+01
  -12.931147793  0.11551152E-05  0.40003266E+01
  -12.795090861  0.10209732E-02  0.40004655E+01
  -12.659033930  0.12923098E+00  0.40180482E+01
  -12.522976999  0.24662818E+01  0.43536030E+01
  -12.386920068  0.82536240E+01  0.54765657E+01
  -12.250863136  0.79459674E+01  0.65576697E+01
  -12.114806205  0.59201569E+01  0.73631480E+01
  -11.978749274  0.54851618E+01  0.81094423E+01
  -11.842692343  0.63216967E+01  0.89695530E+01
  -11.706635411  0.58681605E+01  0.97679569E+01
  -11.570578480  0.16279686E+01  0.99894533E+01
  -11.434521549  0.80159846E-01  0.10000360E+02
  -11.298464618  0.59687286E-03  0.10000441E+02
  -11.162407687  0.63672352E-06  0.10000441E+02
  -11.026350755  0.95140581E-10  0.10000441E+02
  -10.890293824  0.19773908E-14  0.10000441E+02
  -10.754236893  0.61760547E-12  0.10000441E+02
  -10.618179962  0.66947824E-08  0.10000441E+02
  -10.482123030  0.10866737E-04  0.10000442E+02
  -10.346066099  0.27855454E-02  0.10000821E+02
  -10.210009168  0.12485274E+00  0.10017808E+02
  -10.073952237  0.11971160E+01  0.10180684E+02
   -9.937895306  0.33211490E+01  0.10632550E+02
   -9.801838374  0.39737406E+01  0.11173205E+02
   -9.665781443  0.39513891E+01  0.11710819E+02
   -9.529724512  0.37433414E+01  0.12220126E+02
   -9.393667581  0.35648572E+01  0.12705150E+02
   -9.257610649  0.36254853E+01  0.13198422E+02
   -9.121553718  0.39558895E+01  0.13736648E+02
   -8.985496787  0.49071026E+01  0.14404294E+02
   -8.849439856  0.66518255E+01  0.15309320E+02
   -8.713382924  0.44196712E+01  0.15910647E+02
   -8.577325993  0.64420301E+00  0.15998296E+02
   -8.441269062  0.15365224E-01  0.16000386E+02
   -8.305212131  0.54712893E-04  0.16000394E+02
   -8.169155200  0.28077347E-07  0.16000394E+02
   -8.033098268  0.20416456E-11  0.16000394E+02
   -7.897041337  0.20831995E-16  0.16000394E+02
   -7.760984406  0.29635656E-22  0.16000394E+02
   -7.624927475  0.58505285E-29  0.16000394E+02
   -7.488870543  0.15969284E-36  0.16000394E+02
   -7.352813612  0.60089087E-45  0.16000394E+02
   -7.216756681  0.31092158E-54  0.16000394E+02
   -7.080699750  0.22077171E-64  0.16000394E+02
   -6.944642818  0.50726041E-65  0.16000394E+02
   -6.808585887  0.70616778E-55  0.16000394E+02
   -6.672528956  0.13470457E-45  0.16000394E+02
   -6.536472025  0.35300131E-37  0.16000394E+02
   -6.400415094  0.12752622E-29  0.16000394E+02
   -6.264358162  0.63818642E-23  0.16000394E+02
   -6.128301231  0.44549692E-17  0.16000394E+02
   -5.992244300  0.43840262E-12  0.16000394E+02
   -5.856187369  0.61863460E-08  0.16000394E+02
   -5.720130437  0.12899411E-04  0.16000395E+02
   -5.584073506  0.42177684E-02  0.16000969E+02
   -5.448016575  0.24650040E+00  0.16034507E+02
   -5.311959644  0.33616084E+01  0.16491877E+02
   -5.175902712  0.14421566E+02  0.18454032E+02
   -5.039845781  0.19373961E+02  0.21089993E+02
   -4.903788850  0.63011281E+01  0.21947305E+02
   -4.767731919  0.38653351E+00  0.21999896E+02
   -4.631674988  0.38364643E-02  0.22000418E+02
   -4.495618056  0.57054240E-05  0.22000419E+02
   -4.359561125  0.12254438E-08  0.22000419E+02
   -4.223504194  0.37319401E-13  0.22000419E+02
   -4.087447263  0.15950737E-18  0.22000419E+02
   -3.951390331  0.95073519E-25  0.22000419E+02
   -3.815333400  0.78669469E-32  0.22000419E+02
   -3.679276469  0.90049962E-40  0.22000419E+02
   -3.543219538  0.14217198E-48  0.22000419E+02
   -3.407162606  0.30881991E-58  0.22000419E+02
   -3.271105675  0.92090636E-69  0.22000419E+02
   -3.135048744  0.37634122E-80  0.22000419E+02
   -2.998991813  0.43613567E-84  0.22000419E+02
   -2.862934882  0.43613567E-84  0.22000419E+02
   -2.726877950  0.43613567E-84  0.22000419E+02
   -2.590821019  0.43613567E-84  0.22000419E+02
   -2.454764088  0.43613567E-84  0.22000419E+02
   -2.318707157  0.43613567E-84  0.22000419E+02
   -2.182650225  0.43613567E-84  0.22000419E+02
   -2.046593294  0.43613567E-84  0.22000419E+02
   -1.910536363  0.43613567E-84  0.22000419E+02
   -1.774479432  0.43613567E-84  0.22000419E+02
   -1.638422500  0.43613567E-84  0.22000419E+02
   -1.502365569  0.43613567E-84  0.22000419E+02
   -1.366308638  0.43613567E-84  0.22000419E+02
   -1.230251707  0.43613567E-84  0.22000419E+02
   -1.094194776  0.43613567E-84  0.22000419E+02
   -0.958137844  0.43613567E-84  0.22000419E+02
   -0.822080913  0.43613567E-84  0.22000419E+02
   -0.686023982  0.43613567E-84  0.22000419E+02
